T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;SmB_non_etanche;SmB_etanche
20;12.8;12.8;199000;0.31;8221;11.1;443;1035;1117;1275;1402;414;425;345
50;12.9;12.9;198000;0.31;8221;11.6;441;1017;1098;1263;1390;414;425;339
100;13.0;13.0;195000;0.31;8195;12.4;450;991;1071;1244;1369;414;425;330
150;13.2;13.2;192000;0.31;8179;13.3;466;972;1049;1225;1348;414;425;324
200;13.4;13.4;190000;0.31;8162;14.1;480;957;1034;1206;1327;414;425;319
250;13.61;13.61;188000;0.31;8145;15.0;490;946;1022;1187;1306;414;425;315
300;13.8;13.8;185000;0.31;8128;15.8;494;938;1013;1169;1285;414;425;313
350;13.9;13.9;183000;0.31;8110;16.7;495;931;1005;1151;1266;414;425;310
400;14.11;14.11;180000;0.31;8093;17.5;494;924;998;1133;1247;409;420;308
450;14.255;14.255;176500;0.31;8076;18.4;497;915;989;1117;1229;403;414;305
500;14.4;14.4;173000;0.31;;19.3;506;905;977;1102;1212;397;408;302
550;;;;;;;;;;1088;1197;;;
600;;;;;;;;;;1076;1183;;;
650;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;
