T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;11.3;11.3;212000;0.3;7850;37.1;460;265;;450;;150;113;;;
50;11.5;11.8;210000;0.3;7842;37.2;475;258;;;;150;;;;
75;11.7;12.15;208000;0.3;7835;37.25;486;252;;;;150;;;;
100;11.9;12.5;206000;0.3;7828;37.3;497;245;;;;150;;;;
125;12.075;12.8;204000;0.3;7820.5;37.3;506.5;238;;;;150;;;;
150;12.25;13.1;202000;0.3;7813;37.3;516;230;;;;150;;;;
175;12.425;13.4;200500;0.3;7805;37.25;524;223;;;;146.5;;;;
200;12.6;13.7;199000;0.3;7797;37.2;532;215;;;;143;;;;
225;12.75;13.95;197000;0.3;7789;37.05;540.5;213;;;;141.5;;;;
250;12.9;14.2;195000;0.3;7781;36.9;549;210;;;;140;;;;
275;13.05;14.45;193000;0.3;7772.5;36.65;558;205;;;;136.5;;;;
300;13.2;14.7;191000;0.3;7764;36.4;567;200;;;;133;;;;
325;13.3;14.9;189000;0.3;7755.5;36.1;577;193;;;;128;;;;
350;13.4;15.1;187000;0.3;7747;35.8;587;185;;;;123;;;;
375;13.55;15.25;185000;0.3;7738;35.45;599;180;;;;120;;;;
400;13.7;15.4;183000;0.3;7729;35.1;611;175;;;;117;;;;
425;;;;0.3;7720;34.7;626;170;;;;113.5;;;;
450;;;;0.3;7711;34.3;641;165;;;;110;;;;
475;;;;0.3;7702.5;33.8;659.5;160;;;;;;;;
500;;;;0.3;7694;33.3;678;155;;;;;;;;
525;;;;0.3;7684.5;32.75;700.5;;;;;;;;;
550;;;;0.3;7675;32.2;723;;;;;;;;;
575;;;;0.3;7665.5;31.55;750.5;;;;;;;;;
600;;;;0.3;7656;30.9;778;;;;;;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
