T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;15.3;15.3;200000;0.3;7930;14.28;472;175;218;450;;116;113;;0.6;
50;15.5;15.7;197000;0.3;7919;14.73;485;163.75;204.125;435;;116;113;;0.6;
75;15.7;16.1;195000;0.3;7909;15.105;493;154.375;192.5625;422.5;;116;113;;0.6;
100;15.9;16.5;193000;0.3;7899;15.48;501;145;181;410;;116;113;;0.6;
125;16.05;16.8;191000;0.3;7889;15.855;506.5;137.5;172;395;;116;109.5;;0.6;
150;16.2;17.1;189000;0.3;7879;16.23;512;130;163;380;;116;106;;0.6;
175;16.4;17.45;187000;0.3;7868.5;16.605;517;124;155.5;370;;111;103;;0.6;
200;16.6;17.8;185000;0.3;7858;16.98;522;118;148;360;;106;100;;0.6;
225;16.75;18.05;183000;0.3;7847.5;17.36;526;113;141.5;355;;101.5;98.5;;0.6;
250;16.9;18.3;180000;0.3;7837;17.74;530;108;135;350;;97;97;;0.6;
275;17.05;18.6;178000;0.3;7826;18.115;534;104;130;345;;93.5;93.5;;0.6;
300;17.2;18.9;176000;0.3;7815;18.49;538;100;125;340;;90;90;;0.6;
325;17.35;19.1;174000;0.3;7804;18.865;542;97;121.5;340;;87.5;87.5;;0.6;
350;17.5;19.3;172000;0.3;7793;19.24;546;94;118;340;;85;85;;0.6;
375;17.65;19.55;170000;0.3;7781.5;19.615;551;91.5;114.5;335;;82.5;82.5;;0.6;
400;17.8;19.8;168000;0.3;7770;19.99;556;89;111;330;;80;80;;0.6;
425;17.9;19.95;166000;0.3;7758.5;20.365;561.5;87;108.5;330;;78.25;78.25;;0.6;
450;18;20.1;164000;0.3;7747;20.74;567;85;106;330;;76.5;76.5;;0.6;
475;18.15;20.3;161000;0.3;7735.5;21.115;572.5;83;103.5;165;;74.75;74.75;;;
500;18.3;20.5;159000;0.3;7724;21.49;578;81;101;;;73;73;;;
525;18.4;20.6;157000;0.3;7712.5;21.865;584;80.5;100.5;;;72.5;;;;
550;18.5;20.7;155000;0.3;7701;22.24;590;80;100;;;72;;;;
575;18.6;20.85;153000;0.3;7689;22.615;595.5;;;;;;;;;
600;18.7;21;151000;0.3;7677;22.99;601;;;;;;;;;
625;18.8;21.05;149000;0.3;7565.5;23.365;605.5;;;;;;;;;
650;18.9;21.1;147000;0.3;7654;23.74;610;;;;;;;;;
675;18.95;21.2;144000;0.3;7642;24.115;612.5;;;;;;;;;
700;19;21.3;142000;0.3;7630;24.49;615;;;;;;;;;
750;19.2;21.3;;0.3;7606;25.25;615;;;;;;;;;
800;19.3;21.4;;0.3;7582;26;607;;;;;;;;;
850;19.5;21.3;;0.3;;;;;;;;;;;;
900;19.6;21.3;;0.3;;;;;;;;;;;;
950;19.7;;;0.3;;;;;;;;;;;;
1000;19.7;;;0.3;;;;;;;;;;;;
