T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;211000;;;;;940;;1040;;313;313;208;;;
50;;;208375;;;;;;;;;;;208;;;
75;;;206187.5;;;;;;;;;;;208;;;
100;11.1;;204000;;;;;;;;;;;208;;;
125;11.35;;202000;;;;;;;;;;;208;;;
150;11.6;;200000;;;;;;;;;;;208;;;
175;11.85;;198000;;;;;;;;;;;208;;;
200;12.1;;196000;;;;;;;;;;;208;;;
225;12.3;;193500;;;;;;;;;;;208;;;
250;12.5;;191000;;;;;;;;;;;208;;;
275;12.7;;188500;;;;;;;;;;;208;;;
300;12.9;;186000;;;;;;;;;;;208;;;
325;13.05;;184000;;;;;;;;;;;208;;;
350;13.2;;182000;;;;;;;;;;;208;;;
375;;;;;;;;;;;;;;;;;
400;;;;;;;;;;;;;;;;;
425;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;
