T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;a;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;15.3;15.3;200000;0.3;7930;14.28;472;3.81;190;235;480;520;127;120;10000000;2.75;53
50;15.5;15.7;197000;0.3;7919;14.73;485;3.84;181;220;461;501;127;120;10000000;2.75;53
75;15.7;16.1;195000;0.3;7909;15.11;493;3.87;173;208;446;486;127;119;10000000;2.75;53
100;15.9;16.5;193000;0.3;7899;15.48;501;3.91;165;196;430;470;127;119;10000000;2.75;53
125;16.1;16.8;191000;0.3;7889;15.86;507;9.96;158;187;420;460;127;117;10000000;2.75;53
150;16.2;17.1;189000;0.3;7879;16.23;512;4.02;150;178;410;450;127;114;10000000;2.75;53
175;16.4;17.5;187000;0.3;7869;16.61;517;4.08;144;168;400;440;125;111;10000000;2.75;53
200;16.6;17.8;185000;0.3;7858;16.98;522;4.14;137;159;390;430;123;108;10000000;2.75;53
225;16.7;18.1;183000;0.3;7848;17.36;526;4.21;132;153;388;428;119;108;10000000;2.75;53
250;16.9;18.3;180000;0.3;7837;17.74;530;4.27;127;147;385;427;114;107;10000000;2.75;53
275;17.1;18.6;178000;0.3;7826;18.11;534;4.34;120;141;383;425;108;105;10000000;2.75;53
300;17.2;18.9;176000;0.3;7815;18.49;538;4.40;113;135;380;423;102;102;10000000;2.75;53
325;17.4;19.1;174000;0.3;7804;18.86;542;4.46;106;131;380;423;96;96;10000000;2.75;53
350;17.5;19.3;172000;0.3;7793;19.24;546;4.52;99;126;380;423;89;89;10000000;2.75;53
375;17.6;19.6;170000;0.3;7782;19.61;551;4.57;98;123;380;423;88;88;10000000;2.6;40
400;17.8;19.8;168000;0.3;7770;19.99;556;4.63;97;120;380;423;87;87;10000000;2;30
425;17.9;20;166000;0.3;7759;20.36;561;4.68;95;118;375;422;86;86;10000000;2;24
450;18;20.1;164000;0.3;7747;20.74;567;4.72;93;115;370;420;84;84;650000;2;24
475;18.1;20.3;161000;0.3;7736;21.11;573;4.77;91;113;365;416;82;82;60000;2;24
500;18.3;20.5;159000;0.3;7724;21.49;578;4.81;89;110;360;411;80;80;6860;2;24
525;18.4;20.6;157000;0.3;7713;21.87;584;4.85;88;108;355;400;79;79;807;2;24
550;18.5;20.7;155000;0.3;7701;22.24;590;4.89;86;106;350;388;77;77;109;2;24
575;18.6;20.9;153000;0.3;7689;22.62;596;4.94;;;;;;;30;;
600;18.7;21;151000;0.3;7677;22.99;601;4.98;;;;;;;10.5;;
625;18.8;21.1;149000;0.3;7666;23.37;606;5.03;;;;;;;3.5;;
650;18.9;21.1;147000;0.3;7654;23.74;610;5.09;;;;;;;1.3;;
675;19;21.2;144000;0.3;7642;24.12;613;5.15;;;;;;;;;
700;19;21.3;142000;0.3;7630;24.49;615;5.22;;;;;;;;;
750;19.2;21.3;;0.3;7606;25.25;615;5.39;;;;;;;;;
800;19.3;21.4;;0.3;7582;26;607;5.65;;;;;;;;;
850;19.5;21.3;;0.3;;;;;;;;;;;;;
900;19.6;21.3;;0.3;;;;;;;;;;;;;
950;19.7;;;0.3;;;;;;;;;;;;;
1000;19.7;;;0.3;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;21,2;;;;;24,12;613;5,15E-06;;;;;;;;;
;21,3;;;;;24,49;615;5,22E-06;;;;;;;;;
;21,3;;;;;25,25;615;5,39E-06;;;;;;;;;
