T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;11.3;11.3;212000;0.3;7850;44.7;460;255;318.75;430;;144;108;;;
50;11.5;11.8;210000;0.3;7842;44.3;475;250;312.5;412;;144;108;;;
75;11.7;12.15;208000;0.3;7835;43.95;486;246;307.5;405;;144;108;;;
100;11.9;12.5;206000;0.3;7828;43.6;497;242;302.5;398;;144;108;;;
125;12.075;12.8;204000;0.3;7820.5;43.2;506.5;235.5;294.375;397;;144;108;;;
150;12.25;13.1;202000;0.3;7813;42.8;516;229;286.25;396;;144;108;;;
175;12.425;13.4;200500;0.3;7805;42.4;524;221.5;276.875;399.5;;144;108;;;
200;12.6;13.7;199000;0.3;7797;42;532;214;267.5;403;;144;108;;;
225;12.75;13.95;197000;0.3;7789;41.55;540.5;206.5;258.125;406.5;;138.5;108;;;
250;12.9;14.2;195000;0.3;7781;41.1;549;199;248.75;410;;133;108;;;
275;13.05;14.45;193000;0.3;7772.5;40.65;558;191.5;239.375;413.5;;129;108;;;
300;13.2;14.7;191000;0.3;7764;40.2;567;184;230;417;;125;108;;;
325;13.3;14.9;189000;0.3;7755.5;39.7;577;177;221.25;420;;119;108;;;
350;13.4;15.1;187000;0.3;7747;39.2;587;170;212.5;423;;113;108;;;
375;13.55;15.25;185000;0.3;7738;38.65;599;164.5;205.625;419;;109.5;107;;;
400;13.7;15.4;183000;0.3;7729;38.1;611;159;198.75;415;;106;106;;;
425;;;;0.3;7720;37.55;626;153.5;191.875;407;;102.5;102.5;;;
450;;;;0.3;7711;37;641;148;185;399;;99;99;;;
475;;;;0.3;7702.5;36.45;659.5;143.5;179.375;384;;96;;;;
500;;;;0.3;7694;35.9;678;139;173.75;369;;93;;;;
525;;;;0.3;7684.5;35.3;700.5;;;;;;;;;
550;;;;0.3;7675;34.7;723;;;;;;;;;
575;;;;0.3;7665.5;34.05;750.5;;;;;;;;;
600;;;;0.3;7656;33.4;778;;;;;;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
