T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;11.3;11.3;212000;0.3;7850;44.7;460;295;368.75;440;;147;110;;;
50;11.5;11.8;210000;0.3;7842;44.3;475;284;355;425;;147;110;;;
75;11.7;12.15;208000;0.3;7835;43.95;486;272;340;411.5;;147;110;;;
100;11.9;12.5;206000;0.3;7828;43.6;497;260;325;398;;147;110;;;
125;12.075;12.8;204000;0.3;7820.5;43.2;506.5;252.5;315.625;397;;147;110;;;
150;12.25;13.1;202000;0.3;7813;42.8;516;245;306.25;396;;147;110;;;
175;12.425;13.4;200500;0.3;7805;42.4;524;242.5;303.125;399.5;;147;110;;;
200;12.6;13.7;199000;0.3;7797;42;532;240;300;403;;147;110;;;
225;12.75;13.95;197000;0.3;7789;41.55;540.5;235;293.75;406.5;;147;110;;;
250;12.9;14.2;195000;0.3;7781;41.1;549;230;287.5;410;;147;110;;;
275;13.05;14.45;193000;0.3;7772.5;40.65;558;222.5;278.125;413.5;;145;110;;;
300;13.2;14.7;191000;0.3;7764;40.2;567;215;268.75;417;;143;110;;;
325;13.3;14.9;189000;0.3;7755.5;39.7;577;207.5;259.375;420;;138;110;;;
350;13.4;15.1;187000;0.3;7747;39.2;587;200;250;423;;133;110;;;
375;13.55;15.25;185000;0.3;7738;38.65;599;195;243.75;419;;130;110;;;
400;13.7;15.4;183000;0.3;7729;38.1;611;190;237.5;415;;127;110;;;
425;;;;0.3;7720;37.55;626;185;231.25;407;;123.5;110;;;
450;;;;0.3;7711;37;641;180;225;399;;120;110;;;
475;;;;0.3;7702.5;36.45;659.5;177.5;221.875;384;;118.5;;;;
500;;;;0.3;7694;35.9;678;175;218.75;369;;117;;;;
525;;;;0.3;7684.5;35.3;700.5;;;;;;;;;
550;;;;0.3;7675;34.7;723;;;;;;;;;
575;;;;0.3;7665.5;34.05;750.5;;;;;;;;;
600;;;;0.3;7656;33.4;778;;;;;;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
