T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;11.3;11.3;212000;0.3;7850;44.7;460;240;300;420;;140;105;;;
50;11.5;11.8;210000;0.3;7842;44.3;475;233;291.25;412;;140;105;;;
75;11.7;12.15;208000;0.3;7835;43.95;486;226.5;283.125;405;;140;105;;;
100;11.9;12.5;206000;0.3;7828;43.6;497;220;275;398;;140;105;;;
125;12.075;12.8;204000;0.3;7820.5;43.2;506.5;215;268.75;397;;140;105;;;
150;12.25;13.1;202000;0.3;7813;42.8;516;210;262.5;396;;140;105;;;
175;12.425;13.4;200500;0.3;7805;42.4;524;205;256.25;399.5;;136.5;105;;;
200;12.6;13.7;199000;0.3;7797;42;532;200;250;403;;133;105;;;
225;12.75;13.95;197000;0.3;7789;41.55;540.5;195;243.75;406.5;;130;105;;;
250;12.9;14.2;195000;0.3;7781;41.1;549;190;237.5;410;;127;105;;;
275;13.05;14.45;193000;0.3;7772.5;40.65;558;182.5;228.125;413.5;;122;105;;;
300;13.2;14.7;191000;0.3;7764;40.2;567;175;218.75;417;;117;105;;;
325;13.3;14.9;189000;0.3;7755.5;39.7;577;170;212.5;420;;113.5;105;;;
350;13.4;15.1;187000;0.3;7747;39.2;587;165;206.25;423;;110;105;;;
375;13.55;15.25;185000;0.3;7738;38.65;599;162.5;203.125;419;;108.5;105;;;
400;13.7;15.4;183000;0.3;7729;38.1;611;160;200;415;;107;105;;;
425;;;;0.3;7720;37.55;626;155;193.75;407;;103.5;102.5;;;
450;;;;0.3;7711;37;641;150;187.5;399;;100;100;;;
475;;;;0.3;7702.5;36.45;659.5;147.5;184.375;384;;98.5;;;;
500;;;;0.3;7694;35.9;678;145;181.25;369;;97;;;;
525;;;;0.3;7684.5;35.3;700.5;;;;;;;;;
550;;;;0.3;7675;34.7;723;;;;;;;;;
575;;;;0.3;7665.5;34.05;750.5;;;;;;;;;
600;;;;0.3;7656;33.4;778;;;;;;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
