T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;11.3;11.3;212000;0.3;7850;44.7;460;280;350;440;;147;110;;;
50;11.5;11.8;210000;0.3;7842;44.3;475;274;342.5;425;;147;110;;;
75;11.7;12.15;208000;0.3;7835;43.95;486;269;336.25;411.5;;147;110;;;
100;11.9;12.5;206000;0.3;7828;43.6;497;264;330;398;;147;110;;;
125;12.075;12.8;204000;0.3;7820.5;43.2;506.5;258.5;323.125;397;;147;110;;;
150;12.25;13.1;202000;0.3;7813;42.8;516;253;316.25;396;;147;110;;;
175;12.425;13.4;200500;0.3;7805;42.4;524;248;310;399.5;;147;110;;;
200;12.6;13.7;199000;0.3;7797;42;532;243;303.75;403;;147;110;;;
225;12.75;13.95;197000;0.3;7789;41.55;540.5;234.5;293.125;406.5;;147;110;;;
250;12.9;14.2;195000;0.3;7781;41.1;549;226;282.5;410;;147;110;;;
275;13.05;14.45;193000;0.3;7772.5;40.65;558;209;261.25;413.5;;137.5;110;;;
300;13.2;14.7;191000;0.3;7764;40.2;567;192;240;417;;128;110;;;
325;13.3;14.9;189000;0.3;7755.5;39.7;577;187;233.75;420;;124.5;110;;;
350;13.4;15.1;187000;0.3;7747;39.2;587;182;227.5;423;;121;110;;;
375;13.55;15.25;185000;0.3;7738;38.65;599;178;222.5;419;;118.5;110;;;
400;13.7;15.4;183000;0.3;7729;38.1;611;174;217.5;415;;116;110;;;
425;;;;0.3;7720;37.55;626;171;213.75;407;;114;110;;;
450;;;;0.3;7711;37;641;168;210;399;;112;110;;;
475;;;;0.3;7702.5;36.45;659.5;163.5;204.375;384;;109;;;;
500;;;;0.3;7694;35.9;678;159;198.75;369;;106;;;;
525;;;;0.3;7684.5;35.3;700.5;;;;;;;;;
550;;;;0.3;7675;34.7;723;;;;;;;;;
575;;;;0.3;7665.5;34.05;750.5;;;;;;;;;
600;;;;0.3;7656;33.4;778;;;;;;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
