T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;11.3;11.3;212000;0.3;7850;37.1;460;225;281.25;415;;138;104;;;
50;11.5;11.8;210000;0.3;7842;37.2;475;213.75;267.1875;399.625;;135;104;;;
75;11.7;12.15;208000;0.3;7835;37.25;486;204.375;255.46875;386.8125;;132.5;104;;;
100;11.9;12.5;206000;0.3;7828;37.3;497;195;243.75;374;;130;104;;;
125;12.075;12.8;204000;0.3;7820.5;37.3;506.5;191;238.75;367;;127.5;102;;;
150;12.25;13.1;202000;0.3;7813;37.3;516;187;233.75;360;;125;100;;;
175;12.425;13.4;200500;0.3;7805;37.25;524;186;232.5;349;;124;97;;;
200;12.6;13.7;199000;0.3;7797;37.2;532;185;231.25;340;;123;95;;;
225;12.75;13.95;197000;0.3;7789;37.05;540.5;185;231.25;333;;123;93;;;
250;12.9;14.2;195000;0.3;7781;36.9;549;185;231.25;329;;122;91;;;
275;13.05;14.45;193000;0.3;7772.5;36.65;558;185;231.25;329;;122;91;;;
300;13.2;14.7;191000;0.3;7764;36.4;567;185;231.25;329;;122;91;;;
325;13.3;14.9;189000;0.3;7755.5;36.1;577;185;231.25;329;;122;91;;;
350;13.4;15.1;187000;0.3;7747;35.8;587;185;231.25;329;;122;91;;;
375;13.55;15.25;185000;0.3;7738;35.45;599;185;231.25;329;;122;91;;;
400;13.7;15.4;183000;0.3;7729;35.1;611;185;231.25;329;;122;91;;;
425;;;;0.3;7720;34.7;626;184;230;329;;122;91;;;
450;;;;0.3;7711;34.3;641;182;227.5;329;;121;91;;;
475;;;;0.3;7702.5;33.8;659.5;178;222.5;329;;119;91;;;
500;;;;0.3;7694;33.3;678;173;216.25;326;;115;;;;
525;;;;0.3;7684.5;32.75;700.5;165;206.25;315;;110;;;;
550;;;;0.3;7675;32.2;723;158;197.5;299;;105;;;;
575;;;;0.3;7665.5;31.55;750.5;;;;;;;;;
600;;;;0.3;7656;30.9;778;;;;;;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
