T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;11.3;11.3;212000;0.3;7850;37.1;460;325;;550;;183;138;;;
50;11.5;11.8;210000;0.3;7842;37.2;475;319;;467;;173;130;;;
75;11.7;12.15;208000;0.3;7835;37.25;486;314;;454;;168;126.5;;;
100;11.9;12.5;206000;0.3;7828;37.3;497;309;;441;;163;123;;;
125;12.075;12.8;204000;0.3;7820.5;37.3;506.5;303;;436;;161.5;121.5;;;
150;12.25;13.1;202000;0.3;7813;37.3;516;298;;431;;160;120;;;
175;12.425;13.4;200500;0.3;7805;37.25;524;293;;430;;159.5;119.5;;;
200;12.6;13.7;199000;0.3;7797;37.2;532;288;;429;;159;119;;;
225;12.75;13.95;197000;0.3;7789;37.05;540.5;286;;431.5;;159;119;;;
250;12.9;14.2;195000;0.3;7781;36.9;549;284;;434;;159;119;;;
275;13.05;14.45;193000;0.3;7772.5;36.65;558;282;;436.5;;159;119;;;
300;13.2;14.7;191000;0.3;7764;36.4;567;280;;439;;159;119;;;
325;13.3;14.9;189000;0.3;7755.5;36.1;577;274;;440;;159;119;;;
350;13.4;15.1;187000;0.3;7747;35.8;587;268;;441;;159;119;;;
375;13.55;15.25;185000;0.3;7738;35.45;599;262;;437.5;;159;119;;;
400;13.7;15.4;183000;0.3;7729;35.1;611;256;;434;;159;119;;;
425;;;;0.3;7720;34.7;626;252;;424;;156;117;;;
450;;;;0.3;7711;34.3;641;248;;414;;153;115;;;
475;;;;0.3;7702.5;33.8;659.5;238;;394.5;;146;;;;
500;;;;0.3;7694;33.3;678;228;;375;;139;;;;
525;;;;0.3;7684.5;32.75;700.5;211.5;;344;;127.5;;;;
550;;;;0.3;7675;32.2;723;195;;313;;116;;;;
575;;;;0.3;7665.5;31.55;750.5;;;;;;;;;
600;;;;0.3;7656;30.9;778;;;;;;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
