T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;211000;0.3;;;;600;;900;;300;225;200;200;150;;;
50;;;;0.3;;;;592;;886;;300;225;197;197;150;;;
75;;;;0.3;;;;586;;874;;300;225;195;195;150;;;
100;17;;206000;0.3;;;;580;;862;;300;225;193;193;150;;;
125;17.125;;204500;0.3;;;;575;;850;;300;225;191.5;191.5;150;;;
150;17.25;;203000;0.3;;;;570;;838;;300;225;190;190;150;;;
175;17.375;;201500;0.3;;;;565;;826.5;;300;225;188.5;188.5;150;;;
200;17.5;;200000;0.3;;;;560;;815;;300;225;187;187;150;;;
225;17.575;;198000;0.3;;;;555;;804;;296.5;222.5;185;185;150;;;
250;17.65;;196000;0.3;;;;550;;793;;293;220;183;183;150;;;
275;17.725;;194000;0.3;;;;545;;780;;288.5;216.5;181.5;181.5;150;;;
300;17.8;;192000;0.3;;;;540;;767;;284;213;180;180;150;;;
325;17.85;;189500;0.3;;;;535;;755.5;;279.5;210;178.5;178.5;150;;;
350;17.9;;187000;0.3;;;;530;;744;;275;207;177;177;150;;;
375;17.95;;185000;0.3;;;;525;;732;;271;203.5;175;175;150;;;
400;18;;183000;0.3;;;;520;;720;;267;200;173;173;150;;;
425;18.05;;180500;0.3;;;;515;;715;;265;198.5;171.5;171.5;150;;;
450;18.1;;178000;0.3;;;;510;;710;;263;197;170;170;150;;;
475;18.15;;175500;0.3;;;;500;;705;;261;195.5;166.5;166.5;150;;;
500;18.2;;173000;0.3;;;;490;;700;;259;194;163;163;150;;;
525;18.275;;170500;0.3;;;;475;;695;;257.5;193;158;158;150;;;
550;18.35;;168000;0.3;;;;460;;690;;256;192;153;153;150;;;
575;18.425;;165000;0.3;;;;445;;680;;252;189;148;148;75;;;
600;18.5;;162000;0.3;;;;430;;670;;248;186;143;143;;;;
625;;;;0.3;;;;405;;;;;;135;135;;;;
650;;;;0.3;;;;380;;;;;;127;127;;;;
675;;;;0.3;;;;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;;;;
