T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;10.3;10.3;215000;0.3;7760;23.1;442;435;486;550;652;183;138;;;
50;10.5;10.6;213000;0.3;7753;23.4;464;423;475;545;621;183;138;;;
75;10.6;10.85;212000;0.3;7746.5;23.6;479.5;415;468;541;605;183;138;;;
100;10.7;11.1;211000;0.3;7740;23.8;495;406;460;537;589;183;138;;;
125;10.85;11.3;209500;0.3;7733.5;24;507;399;455;531;581;183;138;;;
150;11;11.5;208000;0.3;7727;24.2;519;392;450;525;572;183;138;;;
175;11.1;11.7;206000;0.3;7720;24.35;528.5;388;446;522;568;183;138;;;
200;11.2;11.9;204000;0.3;7713;24.5;538;383;442;519;564;183;138;;;
225;11.3;12.1;202500;0.3;7706;24.7;547;380;438;517;561;183;138;;;
250;11.4;12.3;201000;0.3;7699;24.9;556;376;434;514;558;183;138;;;
275;11.5;12.45;199000;0.3;7692;25.05;565;374;430;510;554;183;138;;;
300;11.6;12.6;197000;0.3;7685;25.2;574;371;426;506;550;183;138;;;
325;11.7;12.75;195000;0.3;7677.5;25.3;585;368;421;500;543;183;138;;;
350;11.8;12.9;193000;0.3;7670;25.4;596;365;416;493;536;183;137;;;
375;11.85;13.05;190500;0.3;7662.5;25.55;609.5;361;410;482;525;179;134;;;
400;11.9;13.2;188000;0.3;7655;25.7;623;356;403;471;513;174;131;;;
425;12;13.3;186000;0.3;7647.5;25.8;640;349;394;455;496;169;127;;;
450;12.1;13.4;184000;0.3;7640;25.9;657;341;385;439;479;163;122;;;
475;12.15;13.45;181500;0.3;7632.5;26;679.5;329;373;417;457;155;116;;;
500;12.2;13.5;179000;0.3;7625;26.1;702;316;361;395;435;146;110;;;
525;12.3;13.6;176000;0.3;7617.5;26.2;731;293;345;368;408;136;;;;
550;12.4;13.7;173000;0.3;7610;26.3;760;270;329;340;381;126;;;;
575;12.45;13.75;170000;0.3;7602;26.4;796;;309;307;350;114;;;;
600;12.5;13.8;167000;0.3;7594;26.5;832;;288;273;318;101;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
