T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;10.3;10.3;215000;0.3;7760;23.1;442;390;510;590;695;197;148;;;
50;10.5;10.6;213000;0.3;7753;23.4;464;383;502;570;683;193;145;;;
75;10.6;10.85;212000;0.3;7746.5;23.6;479.5;378;495;553;672;190;143;;;
100;10.7;11.1;211000;0.3;7740;23.8;495;372;488;536;662;186;140;;;
125;10.85;11.3;209500;0.3;7733.5;24;507;367;481;519;651;183;138;;;
150;11;11.5;208000;0.3;7727;24.2;519;361;474;502;641;180;135;;;
175;11.1;11.7;206000;0.3;7720;24.35;528.5;356;467;485;630;176;133;;;
200;11.2;11.9;204000;0.3;7713;24.5;538;350;460;468;620;173;130;;;
225;11.3;12.1;202500;0.3;7706;24.7;547;348;458;464;617;172;129;;;
250;11.4;12.3;201000;0.3;7699;24.9;556;345;455;459;613;170;128;;;
275;11.5;12.45;199000;0.3;7692;25.05;565;343;453;455;609;169;127;;;
300;11.6;12.6;197000;0.3;7685;25.2;574;340;450;450;605;167;125;;;
325;11.7;12.75;195000;0.3;7677.5;25.3;585;338;445;446;601;165;124;;;
350;11.8;12.9;193000;0.3;7670;25.4;596;335;440;441;597;163;123;;;
375;11.85;13.05;190500;0.3;7662.5;25.55;609.5;333;435;437;591;162;122;;;
400;11.9;13.2;188000;0.3;7655;25.7;623;330;430;432;585;160;120;;;
425;12;13.3;186000;0.3;7647.5;25.8;640;320;423;423;575;157;118;;;
450;12.1;13.4;184000;0.3;7640;25.9;657;310;415;414;560;153;115;;;
475;12.15;13.45;181500;0.3;7632.5;26;679.5;300;403;396;538;147;110;;;
500;12.2;13.5;179000;0.3;7625;26.1;702;290;390;378;515;140;105;;;
525;12.3;13.6;176000;0.3;7617.5;26.2;731;278;375;356;483;132;99;;;
550;12.4;13.7;173000;0.3;7610;26.3;760;260;355;333;450;123;93;;;
575;12.45;13.75;170000;0.3;7602;26.4;796;240;333;304;419;113;;;;
600;12.5;13.8;167000;0.3;7594;26.5;832;220;310;270;370;100;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
