T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;a;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;;;;;;;450;;700;;150;150;112;;;
50;;;;;;;;;425;;700;;141;141;112;;;
75;;;;;;;;;403;;700;;134;134;112;;;
100;;;;;;;;;382;;700;;127;127;112;;;
125;;;;;;;;;377;;700;;125;125;112;;;
150;;;;;;;;;371;;700;;124;124;112;;;
175;;;;;;;;;366;;700;;122;122;112;;;
200;;;;;;;;;360;;700;;120;120;112;;;
225;;;;;;;;;354;;700;;118;118;112;;;
250;;;;;;;;;349;;700;;116;116;112;;;
275;;;;;;;;;343;;700;;114;114;112;;;
300;;;;;;;;;337;;700;;112;112;112;;;
325;;;;;;;;;332;;700;;110;110;110;;;
350;;;;;;;;;326;;700;;109;109;109;;;
375;;;;;;;;;321;;700;;107;107;107;;;
400;;;;;;;;;315;;700;;105;105;105;;;
425;;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;21,2;;;;;24,12;613;5,15E-06;;;;;;;;;;
;21,3;;;;;24,49;615;5,22E-06;;;;;;;;;;
;21,3;;;;;25,25;615;5,39E-06;;;;;;;;;;
