T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;211000;;;;;440;;600;;147;147;110;;;
50;;;208375;;;;;435;;587;;145;145;110;;;
75;;;206187.5;;;;;431.5;;580.5;;144;144;110;;;
100;11.1;;204000;;;;;428;;574;;143;143;110;;;
125;11.35;;202000;;;;;424;;566.5;;141.5;141.5;110;;;
150;11.6;;200000;;;;;420;;559;;140;140;110;;;
175;11.85;;198000;;;;;416;;558;;138.5;138.5;110;;;
200;12.1;;196000;;;;;412;;557;;137;137;110;;;
225;12.3;;193500;;;;;402;;556;;134;134;110;;;
250;12.5;;191000;;;;;392;;555;;131;131;110;;;
275;12.7;;188500;;;;;377.5;;555;;126;126;110;;;
300;12.9;;186000;;;;;363;;555;;121;121;110;;;
325;13.05;;184000;;;;;348;;555;;116;116;110;;;
350;13.2;;182000;;;;;333;;555;;111;111;110;;;
375;;;;;;;;;;;;;;;;;
400;;;;;;;;;;;;;;;;;
425;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;
