T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;211000;;;;;420;;600;;140;140;105;;;
50;;;208375;;;;;414;;587;;138;138;105;;;
75;;;206187.5;;;;;408.5;;580.5;;136;136;105;;;
100;11.1;;204000;;;;;403;;574;;134;134;105;;;
125;11.35;;202000;;;;;398;;566.5;;132.5;132.5;105;;;
150;11.6;;200000;;;;;393;;559;;131;131;105;;;
175;11.85;;198000;;;;;387.5;;558;;129;129;105;;;
200;12.1;;196000;;;;;382;;557;;127;127;105;;;
225;12.3;;193500;;;;;377;;556;;125.5;125.5;105;;;
250;12.5;;191000;;;;;372;;555;;124;124;105;;;
275;12.7;;188500;;;;;358;;555;;119.5;119.5;105;;;
300;12.9;;186000;;;;;344;;555;;115;115;105;;;
325;13.05;;184000;;;;;334;;555;;111.5;111.5;105;;;
350;13.2;;182000;;;;;324;;555;;108;108;105;;;
375;;;;;;;;;;;;;;;;;
400;;;;;;;;;;;;;;;;;
425;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;
