T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;a;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;;;;;;;230;;270;;76;76;54;;;
50;;;;;;;;;230;;270;;76;76;54;;;
75;;;;;;;;;230;;270;;76;76;54;;;
100;;;;;;;;;230;;270;;76;76;54;;;
125;;;;;;;;;230;;270;;76;76;54;;;
150;;;;;;;;;230;;270;;76;76;54;;;
175;;;;;;;;;230;;270;;76;76;54;;;
200;;;;;;;;;230;;270;;76;76;54;;;
225;;;;;;;;;230;;270;;76;76;54;;;
250;;;;;;;;;230;;270;;76;76;54;;;
275;;;;;;;;;230;;270;;76;76;54;;;
300;;;;;;;;;230;;270;;76;76;54;;;
325;;;;;;;;;230;;270;;76;76;54;;;
350;;;;;;;;;230;;270;;76;76;54;;;
375;;;;;;;;;230;;270;;76;76;54;;;
400;;;;;;;;;230;;270;;76;76;54;;;
425;;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;;
