T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;a;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;;;;;;;200;;280;;66;66;50;;;
50;;;;;;;;;200;;280;;66;66;50;;;
75;;;;;;;;;200;;280;;66;66;50;;;
100;;;;;;;;;200;;280;;66;66;50;;;
125;;;;;;;;;200;;280;;66;66;50;;;
150;;;;;;;;;200;;280;;66;66;50;;;
175;;;;;;;;;200;;280;;66;66;50;;;
200;;;;;;;;;200;;280;;66;66;50;;;
225;;;;;;;;;200;;280;;66;66;50;;;
250;;;;;;;;;200;;280;;66;66;50;;;
275;;;;;;;;;200;;280;;66;66;50;;;
300;;;;;;;;;200;;280;;66;66;50;;;
325;;;;;;;;;200;;280;;66;66;50;;;
350;;;;;;;;;200;;280;;66;66;50;;;
375;;;;;;;;;200;;280;;66;66;50;;;
400;;;;;;;;;200;;280;;66;66;50;;;
425;;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;;
