T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;a;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;;;;;;;940;;1040;;313;313;208;;;
50;;;;;;;;;940;;1040;;313;313;208;;;
75;;;;;;;;;940;;1040;;313;313;208;;;
100;;;;;;;;;940;;1040;;313;313;208;;;
125;;;;;;;;;940;;1040;;313;313;208;;;
150;;;;;;;;;940;;1040;;313;313;208;;;
175;;;;;;;;;940;;1040;;313;313;208;;;
200;;;;;;;;;940;;1040;;313;313;208;;;
225;;;;;;;;;940;;1040;;313;313;208;;;
250;;;;;;;;;940;;1040;;313;313;208;;;
275;;;;;;;;;940;;1040;;313;313;208;;;
300;;;;;;;;;940;;1040;;313;313;208;;;
325;;;;;;;;;940;;1040;;313;313;208;;;
350;;;;;;;;;940;;1040;;313;313;208;;;
375;;;;;;;;;940;;1040;;313;313;208;;;
400;;;;;;;;;940;;1040;;313;313;208;;;
425;;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;;
