T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;a;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;;;;;;;660;;830;;220;220;165;;;
50;;;;;;;;;660;;830;;220;220;165;;;
75;;;;;;;;;660;;830;;220;220;165;;;
100;;;;;;;;;660;;830;;220;220;165;;;
125;;;;;;;;;660;;830;;220;220;165;;;
150;;;;;;;;;660;;830;;220;220;165;;;
175;;;;;;;;;660;;830;;220;220;165;;;
200;;;;;;;;;660;;830;;220;220;165;;;
225;;;;;;;;;660;;830;;220;220;165;;;
250;;;;;;;;;660;;830;;220;220;165;;;
275;;;;;;;;;660;;830;;220;220;165;;;
300;;;;;;;;;660;;830;;220;220;165;;;
325;;;;;;;;;660;;830;;220;220;165;;;
350;;;;;;;;;660;;830;;220;220;165;;;
375;;;;;;;;;660;;830;;220;220;165;;;
400;;;;;;;;;660;;830;;220;220;165;;;
425;;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;;
