T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;a;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;;;;;;;720;;900;;240;240;180;;;
50;;;;;;;;;720;;900;;240;240;180;;;
75;;;;;;;;;720;;900;;240;240;180;;;
100;;;;;;;;;720;;900;;240;240;180;;;
125;;;;;;;;;720;;900;;240;240;180;;;
150;;;;;;;;;720;;900;;240;240;180;;;
175;;;;;;;;;720;;900;;240;240;180;;;
200;;;;;;;;;720;;900;;240;240;180;;;
225;;;;;;;;;720;;900;;240;240;180;;;
250;;;;;;;;;720;;900;;240;240;180;;;
275;;;;;;;;;720;;900;;240;240;180;;;
300;;;;;;;;;720;;900;;240;240;180;;;
325;;;;;;;;;720;;900;;240;240;180;;;
350;;;;;;;;;720;;900;;240;240;180;;;
375;;;;;;;;;720;;900;;240;240;180;;;
400;;;;;;;;;720;;900;;240;240;180;;;
425;;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;;
