T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;9.42;9.42;215400;0.3;7700;22.7;472;700;;900;;300;225;233;233;175;;;
50;9.6;9.77;213000;0.3;7693;23.1;485;680;;875;;300;225;227;227;175;;;
75;9.78;10.065;211200;0.3;7687.5;23.5;496;670;;855.5;;300;225;223.5;223.5;175;;;
100;9.96;10.36;209400;0.3;7682;23.9;508;660;;836;;300;225;220;220;175;;;
125;10.08;10.625;207700;0.3;7675.5;24.3;518;650;;820;;299;224;216.5;216.5;175;;;
150;10.2;10.89;206000;0.3;7669;24.7;529;640;;804;;298;223;213;213;175;;;
175;10.32;11.15;203900;0.3;7663;25.1;540;630;;791.5;;293.5;219.5;210;210;175;;;
200;10.44;11.41;201800;0.3;7657;25.5;551;620;;779;;289;216;207;207;175;;;
225;10.565;11.64;199650;0.3;7650.5;25.9;563;610;;769;;285;213.5;203.5;203.5;175;;;
250;10.69;11.87;197500;0.3;7644;26.3;574;600;;759;;281;211;200;200;175;;;
275;10.82;12.11;195500;0.3;7637;26.7;585;590;;751.5;;278.5;209;196.5;196.5;175;;;
300;10.95;12.35;193500;0.3;7630;27.1;596;580;;744;;276;207;193;193;175;;;
325;11.07;12.505;191250;0.3;7623;27.5;608;;;;;;;;;;;;
350;11.19;12.66;189000;0.3;7616;27.9;621;;;;;;;;;;;;
375;11.295;12.82;186750;0.3;7608.5;;;;;;;;;;;;;;
400;11.4;12.98;184500;0.3;7601;;;;;;;;;;;;;;
425;11.495;13.225;181750;0.3;7594.5;;;;;;;;;;;;;;
450;11.59;13.47;179000;0.3;7588;;;;;;;;;;;;;;
475;;;;0.3;;;;;;;;;;;;;;;
500;;;;0.3;;;;;;;;;;;;;;;
525;;;;0.3;;;;;;;;;;;;;;;
550;;;;0.3;;;;;;;;;;;;;;;
575;;;;0.3;;;;;;;;;;;;;;;
600;;;;0.3;;;;;;;;;;;;;;;
625;;;;0.3;;;;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;;;;
