T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;11.3;11.3;212000;0.3;7850;49.5;460;235;293.75;440;481;147;110;;;
50;11.5;11.8;210000;0.3;7842;49;475;227;283.75;439;473;147;110;;;
75;11.7;12.15;208000;0.3;7835;48.55;486;220.5;275.625;437.5;472;145;110;;;
100;11.9;12.5;206000;0.3;7828;48.1;497;214;267.5;436;471;143;110;;;
125;12.075;12.8;204000;0.3;7820.5;47.6;506.5;206;257.5;434.5;470;137.5;110;;;
150;12.25;13.1;202000;0.3;7813;47.1;516;198;247.5;433;469;132;110;;;
175;12.425;13.4;200500;0.3;7805;46.6;524;190;237.5;431;468;126.5;110;;;
200;12.6;13.7;199000;0.3;7797;46.1;532;182;227.5;429;467;121;110;;;
225;12.75;13.95;197000;0.3;7789;45.5;540.5;174.5;218.125;427.5;466;116;110;;;
250;12.9;14.2;195000;0.3;7781;44.9;549;167;208.75;426;465;111;110;;;
275;13.05;14.45;193000;0.3;7772.5;44.35;558;160;200;424.5;464;106.5;106;;;
300;13.2;14.7;191000;0.3;7764;43.8;567;153;191.25;423;463;102;102;;;
325;13.3;14.9;189000;0.3;7755.5;43.15;577;147.5;184.375;420.5;462;98.5;98.5;;;
350;13.4;15.1;187000;0.3;7747;42.5;587;142;177.5;418;461;95;95;;;
375;13.55;15.25;185000;0.3;7738;41.85;599;;;;;;;;;
400;13.7;15.4;183000;0.3;7729;41.2;611;;;;;;;;;
425;;;;0.3;7720;40.5;626;;;;;;;;;
450;;;;0.3;7711;39.8;641;;;;;;;;;
475;;;;0.3;7702.5;39.05;659.5;;;;;;;;;
500;;;;0.3;7694;38.3;678;;;;;;;;;
525;;;;0.3;7684.5;37.55;700.5;;;;;;;;;
550;;;;0.3;7675;36.8;723;;;;;;;;;
575;;;;0.3;7665.5;36;750.5;;;;;;;;;
600;;;;0.3;7656;35.2;778;;;;;;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
