T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;11.3;11.3;212000;0.3;7850;55.2;460;225;281.25;360;393;120;90;;;
50;11.5;11.8;210000;0.3;7842;54.5;475;218;272.5;332;358;120;90;;;
75;11.7;12.15;208000;0.3;7835;53.8;486;211.5;264.375;331;357;120;90;;;
100;11.9;12.5;206000;0.3;7828;53.1;497;205;256.25;330;356;120;90;;;
125;12.075;12.8;204000;0.3;7820.5;52.4;506.5;197.5;246.875;329.5;355.5;120;90;;;
150;12.25;13.1;202000;0.3;7813;51.7;516;190;237.5;329;355;120;90;;;
175;12.425;13.4;200500;0.3;7805;51;524;182;227.5;328;354;118;90;;;
200;12.6;13.7;199000;0.3;7797;50.3;532;174;217.5;327;353;116;90;;;
225;12.75;13.95;197000;0.3;7789;49.5;540.5;167;208.75;326.5;352.5;111.5;90;;;
250;12.9;14.2;195000;0.3;7781;48.7;549;160;200;326;352;107;90;;;
275;13.05;14.45;193000;0.3;7772.5;47.95;558;153.5;191.875;325;351;102.5;90;;;
300;13.2;14.7;191000;0.3;7764;47.2;567;147;183.75;324;350;98;90;;;
325;13.3;14.9;189000;0.3;7755.5;46.35;577;141.5;176.875;323.5;349.5;94.5;90;;;
350;13.4;15.1;187000;0.3;7747;45.5;587;136;170;323;349;91;90;;;
375;13.55;15.25;185000;0.3;7738;44.65;599;;;;;;;;;
400;13.7;15.4;183000;0.3;7729;43.8;611;;;;;;;;;
425;;;;0.3;7720;42.9;626;;;;;;;;;
450;;;;0.3;7711;42;641;;;;;;;;;
475;;;;0.3;7702.5;41.1;659.5;;;;;;;;;
500;;;;0.3;7694;40.2;678;;;;;;;;;
525;;;;0.3;7684.5;39.2;700.5;;;;;;;;;
550;;;;0.3;7675;38.2;723;;;;;;;;;
575;;;;0.3;7665.5;37.25;750.5;;;;;;;;;
600;;;;0.3;7656;36.3;778;;;;;;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
