T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;11.22;11.22;204000;0.3;7852;37.7;444;400;;552;;184;138;;;
50;11.45;11.63;203000;0.3;7842;38.6;458;390;;547;;184;138;;;
75;11.62;11.975;201500;0.3;7834;39.25;466;382.5;;543;;184;138;;;
100;11.79;12.32;200000;0.3;7826;39.9;474;375;;539;;184;138;;;
125;11.965;12.59;198500;0.3;7817.5;40.2;488;367.5;;534.5;;184;138;;;
150;12.14;12.86;197000;0.3;7809;40.5;503;360;;530;;184;138;;;
175;12.305;13.25;195000;0.3;7801;40.5;514;352.5;;526;;184;138;;;
200;12.47;13.64;193000;0.3;7793;40.5;524;345;;522;;184;138;;;
225;12.625;13.955;191000;0.3;7784.5;40.35;536;337.5;;518;;184;138;;;
250;12.78;14.27;189000;0.3;7776;40.2;549;330;;514;;184;138;;;
275;12.93;14.57;187000;0.3;7767.5;39.85;559;322.5;;509.5;;184;138;;;
300;13.08;14.87;185000;0.3;7759;39.5;570;315;;505;;184;138;;;
325;13.24;15.15;182500;0.3;7751;39.1;582;307.5;;501;;184;138;;;
350;13.4;15.43;180000;0.3;7743;38.7;594;300;;497;;184;138;;;
375;13.56;15.7;178000;0.3;7734.5;38.2;607;;;;;;;;;
400;13.72;15.97;176000;0.3;7726;37.7;621;;;;;;;;;
425;13.87;16.23;173500;0.3;7718;37.15;637;;;;;;;;;
450;14.02;16.49;171000;0.3;7710;36.6;654;;;;;;;;;
475;;;168500;0.3;7701.5;36.05;674;;;;;;;;;
500;;;166000;0.3;7693;35.5;696;;;;;;;;;
525;;;163000;0.3;7684.5;34.9;717;;;;;;;;;
550;;;160000;0.3;7676;34.3;741;;;;;;;;;
575;;;157500;0.3;7668;33.65;767;;;;;;;;;
600;;;155000;0.3;7660;33;796;;;;;;;;;
625;;;;0.3;7651.5;;;;;;;;;;;
650;;;;0.3;7643;;;;;;;;;;;
675;;;;0.3;7635;;;;;;;;;;;
700;;;;0.3;7627;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
