T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;;;197;0.3;;;;230;287.5;600;665.16;153;150;;;
50;;;;0.3;;;;217.25;271.5625;567.375;628.991925;153;147.375;;;
75;;;;0.3;;;;206.625;258.28125;540.1875;598.8518625;153;145.1875;;;
100;;;;0.3;;;;196;245;513;568.7118;153;143;;;
125;;;;0.3;;;;188;235;499.5;553.7457;153;139;;;
150;;;;0.3;;;;180;225;486;538.7796;153;135;;;
175;;;;0.3;;;;173.5;216.875;477.5;529.3565;151.5;132.5;;;
200;16.7;;187;0.3;;;;167;208.75;469;519.9334;150;130;;;
225;16.8;;185;0.3;;;;162.5;203.125;464.5;514.9447;146;129;;;
250;16.9;;183;0.3;;;;158;197.5;460;509.956;142;128;;;
275;17;;180.75;0.3;;;;154;192.5;457.5;507.1845;138.5;127;;;
300;17.1;;178.5;0.3;;;;150;187.5;455;504.413;135;126;;;
325;17.15;;176.25;0.3;;;;147.5;184.375;452;501.0872;133;125.5;;;
350;17.2;;174;0.3;;;;145;181.25;449;497.7614;131;125;;;
375;17.3;;172;0.3;;;;143.5;179.375;445.5;493.8813;129.5;124;;;
400;17.4;;170;0.3;;;;142;177.5;442;490.0012;128;123;;;
425;17.45;;168;0.3;;;;141;176.25;436.5;483.9039;127;121.5;;;
450;17.5;;166;0.3;;;;140;175;431;477.8066;126;120;;;
475;17.6;;163.75;0.3;;;;139;173.75;422;467.8292;125;117.5;;;
500;17.7;;161.5;0.3;;;;138;172.5;413;457.8518;124;115;;;
525;17.8;;159.25;0.3;;;;137.5;171.875;404;447.8744;123.5;112.5;;;
550;17.9;;157;0.3;;;;137;171.25;395;437.897;123;110;;;
575;17.95;;155;0.3;;;;;;;;;;;;
600;18;;153;0.3;;;;;;;;;;;;
625;18.075;;151;0.3;;;;;;;;;;;;
650;18.15;;149;0.3;;;;;;;;;;;;
675;18.225;;146.75;0.3;;;;;;;;;;;;
700;18.3;;144.5;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
